Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B00225,DELANCEY TRANSPORTATION INC.,,2017,5,May,May-2017,13511,0,69,,
B01479,PRATT CAR SERVICE INC,,2022,2,February,February-2022,7,0,1,,
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2017,6,June,June-2017,6524,0,29,,
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2015,12,December,December-2015,3002,0,14,,
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2019,6,June,June-2019,2185,0,11,,
B00856,BEE-BEE CAR SERVICE INC.,,2016,5,May,May-2016,21596,0,89,,
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2021,2,February,February-2021,3802,0,21,,
B01710,"79 MASADA III, INC.",MASADA III,2017,5,May,May-2017,558,0,9,,
B00412,NYC 2 WAY INTERNATIONAL LTD,,2021,4,April,April-2021,5574,0,76,,
B00608,SUMMIT CORPORATE CAR INC.,,2015,12,December,December-2015,2742,0,45,,
B00221,PROFESSIONAL CAR SERVICE INC,,2016,5,May,May-2016,13410,0,241,,
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2020,10,October,October-2020,551,0,10,,
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2020,7,July,July-2020,2905,0,10,,
B02537,ALLTOWN LIMO CORP.,,2021,7,July,July-2021,2873,0,31,,
B02901,GALLANT LUXURY SERVICE CORP.,,2017,8,August,August-2017,1753,0,27,,
B02416,"NEW STORM CAR SERVICE, INC.",,2021,3,March,March-2021,3480,0,6,,
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,2018,1,January,January-2018,3078,0,105,,
B01614,R TRANSPORT INC,,2021,7,July,July-2021,169,0,3,,
B02003,"AVALON CORPORATE CAR,INC.",,2020,12,December,December-2020,1080,0,114,,
B00037,TRANSP UNLIMITED C/S,,2016,12,December,December-2016,10787,0,42,,
B02245,OCEANA CAR AND LIMO,,2018,5,May,May-2018,3309,0,13,,
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2019,5,May,May-2019,1081,0,18,,
B02550,AGAPE LUXURY CORP.,,2021,2,February,February-2021,12847,0,113,,
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2018,3,March,March-2018,824,0,7,,
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2016,4,April,April-2016,177,0,7,,
B00346,MERRICK C/S INC,,2018,6,June,June-2018,1701,0,4,,
UBER,UBER,UBER,2018,6,June,June-2018,13267600,3171911,71006,,
B01066,DOMINICANA RAD DISP INC,,2020,1,January,January-2020,5114,0,41,,
