Base License Number,Base Name,DBA,Year,Month,Month Name,Date,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,,
B02167,MADISON LIMOUSINE INC,,2021,5,May,May-2021,14,0,3,,
B01445,J T TRANSPORTATION CO INC,,2020,1,January,January-2020,6533,0,71,,
B02509,NY MINUTE CAR SERVICE INC.,,2018,5,May,May-2018,12296,0,101,,
B00149,RAINBOW RAD DISP INC,,2019,9,September,September-2019,1688,0,28,,
B03281,JARPA TRANSPORTATION CORP.,,2021,7,July,July-2021,324,0,7,,
B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,,2017,2,February,February-2017,1388,0,7,,
B01726,SUPER CLASS RADIO DISP INC,,2021,3,March,March-2021,5114,0,37,,
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,,2021,5,May,May-2021,239,0,15,,
B02912,FIRST CLASS LUXURY INC,,2018,1,January,January-2018,2143,0,12,,
B01711,FLUSHING LIMO TRANSP CORP,,2017,5,May,May-2017,6540,0,26,,
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2018,3,March,March-2018,2756,0,29,,
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2021,8,August,August-2021,331,0,5,,
B00475,RIDGE TRANSPORTATION CORP.,,2017,2,February,February-2017,3005,0,8,,
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2020,6,June,June-2020,10733,0,28,,
B02738,EXPLORER CAR SERVICE INC.,,2017,4,April,April-2017,3688,0,24,,
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2020,9,September,September-2020,106,0,8,,
B03030,Q-FIRST LIMOUSINE CORP.,,2019,6,June,June-2019,155,0,11,,
B00932,NATASHAS GRP CAR CORP,,2019,3,March,March-2019,7019,0,57,,
B01871,"ALPINE LIMOUSINE SERVICE, INC.",,2019,4,April,April-2019,2725,0,82,,
B01751,CONCORDE EXP OF N.Y. INC,,2018,8,August,August-2018,2628,0,9,,
B01811,IVOIRE LIMO INC.,,2017,12,December,December-2017,998,0,22,,
B01678,"G.T.N.Y. CAR SERVICE, INC.",,2019,5,May,May-2019,140,0,15,,
B02546,X RADIO DISPATCHER INC.,,2015,9,September,September-2015,681,0,4,,
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2020,12,December,December-2020,1037,0,37,,
B01300,KENNEDY RAD DISP INC,,2021,6,June,June-2021,2822,0,21,,
B02331,"CHICO EXPRESS LIMO, INC.",,2017,10,October,October-2017,1728,0,6,,
B01717,HIGH CLASS BRONX LIMO C/S CORP,,2021,3,March,March-2021,10405,0,72,,
B03002,"REYNO,INC.",,2020,9,September,September-2020,2539,0,28,,
B02899,NEW BLACK LUXURY CARS CORP,,2019,3,March,March-2019,1645,0,50,,
B02790,"LAN TIAN CAR SERVICE, INC",,2018,3,March,March-2018,2,0,1,,
B03166,TURING ENTERPRISES INC.,,2021,11,November,November-2021,418,0,9,,
B01984,NY 88 EXPRESS CORP.,,2020,12,December,December-2020,5009,0,36,,
B00597,WAKEFIELD LSG MAINT CORP,,2018,7,July,July-2018,1228,0,9,,
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2016,4,April,April-2016,7192,0,58,,
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2022,3,March,March-2022,7300,0,61,,
B02917,C & A BLACK CAR CORP.,,2017,5,May,May-2017,5,0,5,,
B03018,AUREUS LLC,JAVA CAR & LIMOUSINE SERVICE,2020,6,June,June-2020,16,0,3,,
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2021,5,May,May-2021,89,0,7,,
B03150,INDRIVER NY LLC,INDRIVER,2018,9,September,September-2018,140,0,98,,
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2019,5,May,May-2019,276,0,30,,
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2018,12,December,December-2018,1709,0,8,,
B00030,TREMONT DISPATCHING CORP,,2020,3,March,March-2020,107,0,5,,
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2018,11,November,November-2018,883,0,7,,
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2021,7,July,July-2021,2735,0,8,,
B03139,MJ LUXURY INC.,,2021,7,July,July-2021,135,0,3,,
B03002,"REYNO,INC.",,2018,1,January,January-2018,6385,0,38,,
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2015,11,November,November-2015,33796,0,168,,
B03038,"SOUTH BRONX TRANSPORTATION,INC.",,2020,2,February,February-2020,40,0,1,,
B02470,VAHANA INC.,,2019,11,November,November-2019,400,0,15,,
B02922,"HY'S LIVERY SERVICE,INC.",,2017,2,February,February-2017,68,0,12,,
B02248,HYBRID LIMO EXPRESS INC.,,2022,2,February,February-2022,68,0,1,,
B03062,BQN VOUCHER INC,,2020,4,April,April-2020,429,0,4,,
B02783,"PREFERRED CARE TRANSPORTATION SERVICE,INC",,2021,3,March,March-2021,918,0,9,,
B02440,MLL LIMOUSINE SERVICES INC.,,2018,7,July,July-2018,706,0,26,,
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2021,7,July,July-2021,977,0,5,,
B00111,SKYLINE CREDIT RIDE INC,,2021,8,August,August-2021,2630,0,105,,
B03323,AGORA CAR SERVICE INC,,2021,9,September,September-2021,743,0,7,,
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2017,2,February,February-2017,16,0,2,,
B00619,"HOLA CAR SERVICE,INC.",,2019,8,August,August-2019,6523,0,38,,
B02825,GUADALUPANA II CAR & LIMO INC,,2016,8,August,August-2016,1508,0,8,,
B02460,CABOT LIMO NY CORP.,,2018,8,August,August-2018,488,0,9,,
B02285,"VALERA GLOBAL, INC.",,2015,7,July,July-2015,4329,0,108,,
B02860,EVERY WHERE LIMO SERVICE INC.,,2018,11,November,November-2018,345,0,14,,
B01118,INTERNATIONAL CAR SERVICE INC.,,2019,5,May,May-2019,2721,0,24,,
B02138,"GUADALUPANA CAR LIMO, INC",,2016,4,April,April-2016,4835,0,19,,
B00208,ERNEST SCHWARZ INC,,2017,2,February,February-2017,234,0,5,,
B02410,"POLO LIMOUSINE, CORP.",,2021,2,February,February-2021,751,0,24,,
B02537,ALLTOWN LIMO CORP.,,2018,3,March,March-2018,11103,0,100,,
B00937,RIVERSIDE RADIO DISPATCHER,,2016,11,November,November-2016,56047,0,304,,
B01741,MONACO LIMO & CAR SERVICES INC.,,2015,10,October,October-2015,2520,0,27,,
B02902,NY CAR & LIMO SERVICES INC.,,2020,12,December,December-2020,2793,0,38,,
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2018,1,January,January-2018,13250,0,181,,
B03144,JUST A MOMENT CAR SERVICE INC,,2022,2,February,February-2022,120,0,4,,
B02418,PLUSH SERVICES CORP,,2018,12,December,December-2018,315,0,14,,
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2020,11,November,November-2020,1110,0,10,,
B02180,PEGASUS TRANSPORT SERVICE INC.,,2016,6,June,June-2016,846,0,42,,
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2020,7,July,July-2020,391,0,19,,
B00160,JAFFA CAR & LIMO SVC INC,,2017,5,May,May-2017,2860,0,18,,
B01537,S.I. SPEED INC.,,2015,5,May,May-2015,4458,0,26,,
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2017,4,April,April-2017,4151,0,35,,
B02093,V.J. CAR & LIMO SVC INC.,,2015,7,July,July-2015,2250,0,9,,
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2018,9,September,September-2018,12617,0,63,,
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,2019,8,August,August-2019,322,0,17,,
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2020,8,August,August-2020,95,0,3,,
B02924,CELEBRITY LUXURY INC.,,2018,1,January,January-2018,4235,0,43,,
B02016,PLANET LIMOUSINE LLC,,2016,10,October,October-2016,3112,0,59,,
B01846,ROMANTIQUE LIMOUSINE INC.,,2016,4,April,April-2016,18,0,4,,
B02505,TRELAWNY CAR SERVICE INC,,2017,9,September,September-2017,2659,0,15,,
B01336,BAY EXPRESS CORP.,,2018,3,March,March-2018,2631,0,20,,
B02335,ROCHDALE CAR SERVICE INC.,,2017,4,April,April-2017,943,0,7,,
B01280,BENSONHURST RIDE INC.,,2015,5,May,May-2015,5952,0,29,,
B02924,CELEBRITY LUXURY INC.,,2019,10,October,October-2019,67,0,18,,
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2016,4,April,April-2016,2805,0,39,,
B03174,NEW HEAVEN LUXURY INC,,2021,2,February,February-2021,405,0,8,,
B00149,RAINBOW RAD DISP INC,,2016,5,May,May-2016,2327,0,16,,
B03331,GIGI NYC INC,,2022,1,January,January-2022,276,0,4,,
B02148,MAVRIK TRANS INC.,,2019,7,July,July-2019,363,0,23,,
B02279,MATAMOROS CAR SERVICE INC.,,2016,1,January,January-2016,8934,0,32,,
B01190,NEW BELL CAR SERVICE CORP,,2021,6,June,June-2021,1410,0,9,,
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2017,5,May,May-2017,276,0,10,,
B02541,HIBA CAR & LIMO SVC INC.,,2015,5,May,May-2015,193,0,9,,
B00375,THE EXCELLENT C/S INC,,2017,3,March,March-2017,15132,0,64,,
B01527,NEW FAMILY RAD DISP INC,,2018,5,May,May-2018,6887,0,61,,
B01148,EVELYN CAR SERVICE INC,,2017,3,March,March-2017,3774,0,89,,
LYFT,LYFT,LYFT,2015,6,June,June-2015,111111,0,2963,,
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2017,6,June,June-2017,354,0,8,,
B01386,FENIX PREMIUM CORP.,,2016,2,February,February-2016,51808,0,183,,
B02912,FIRST CLASS LUXURY INC,,2019,9,September,September-2019,1108,0,8,,
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2016,8,August,August-2016,9,0,7,,
B01391,ROSE 'N' DALE C/S INC,,2019,5,May,May-2019,1621,0,10,,
B02729,LOW TOUCH LUXURY INC.,,2021,4,April,April-2021,115,0,5,,
B01233,NEW LACONIA RAD DISP INC,,2018,11,November,November-2018,5308,0,35,,
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,5,May,May-2018,1603,0,10,,
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2017,11,November,November-2017,30206,0,170,,
B02913,DAT TRANSPORTATION INC.,,2016,6,June,June-2016,614,0,9,,
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2019,8,August,August-2019,11370,0,30,,
B03076,CHARRITOS BLACK CAR INC,,2019,9,September,September-2019,92,0,1,,
B02240,NEW APPLE TRANS. INC.,PALPAL LIMO,2021,10,October,October-2021,69,0,5,,
B01970,GRAFE STREET SERVICE CORP.,,2017,12,December,December-2017,411,0,8,,
B01197,"TEL-A-CAR OF NEW YORK, LLC",,2020,2,February,February-2020,1054,0,44,,
B02751,RELIANCE GROUP INC,,2021,8,August,August-2021,74,0,2,,
B00350,CHAMPION CAR & LIMO SVC. INC.,,2017,4,April,April-2017,8296,0,42,,
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2019,9,September,September-2019,608,0,8,,
B00208,ERNEST SCHWARZ INC,,2016,1,January,January-2016,181,0,6,,
B02027,"PARIS LIMOUSINE SERVICE, CORP",,2018,2,February,February-2018,1061,0,35,,
B00053,CHARGE AND RIDE INC,,2018,2,February,February-2018,1036,0,67,,
B03020,5J TRANSPORTATION INC.,,2017,9,September,September-2017,842,0,8,,
B02811,M.L TRIPS CORP.,,2017,12,December,December-2017,1431,0,32,,
B03236,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2020,12,December,December-2020,179,0,22,,
B02103,A & S LIMOUSINE SERVICE CORP,,2020,10,October,October-2020,589,0,3,,
B02182,"FINEST CAR SERVICE, LLC",,2018,8,August,August-2018,7523,0,62,,
B02144,"SILVER STAR LIMOUSINES, INC.",,2018,6,June,June-2018,321,0,11,,
B02107,APOLLO RADIO DISPATCH INC.,,2021,11,November,November-2021,3525,0,38,,
B03006,HUDSON HEIGHTS TRANSPORTATION INC.,,2018,6,June,June-2018,58,0,5,,
B03119,CHINA TRANSIT LLC.,,2021,4,April,April-2021,3,0,1,,
B03107,JD XPRESS INC.,,2020,12,December,December-2020,2675,0,11,,
B03020,5J TRANSPORTATION INC.,,2018,11,November,November-2018,1287,0,10,,
B03346,ASHER TRANSPORTATION INC,,2022,3,March,March-2022,971,0,7,,
B00078,R & R ROAD LIMO SVCE INC,,2016,6,June,June-2016,1801,0,43,,
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2021,11,November,November-2021,14281,0,135,,
B00860,SEAMAN RADIO DISPATCHERS INC,,2015,12,December,December-2015,55606,0,256,,
B02723,CHARLIE BLACK CAR INC.,,2017,5,May,May-2017,6219,0,151,,
B01625,GLOBE CAR SERVICE INC,,2017,6,June,June-2017,1327,0,4,,
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2018,12,December,December-2018,483,0,19,,
B00225,DELANCEY TRANSPORTATION INC.,,2019,12,December,December-2019,4751,0,31,,
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2021,3,March,March-2021,3097,0,17,,
b01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2015,9,September,September-2015,3053,0,10,,
B01083,BROAD DYCKMAN C/S INC,,2017,4,April,April-2017,15591,0,79,,
B03268,NEZA EXPRESS INC.,,2020,8,August,August-2020,27,0,1,,
B02138,"GUADALUPANA CAR LIMO, INC",,2020,9,September,September-2020,1864,0,10,,
B00272,BIG APPLE CAR INC,,2019,4,April,April-2019,2370,0,80,,
B01510,JPAN TRANSPORTATION INC,PARSONS CAR SERVICE,2021,7,July,July-2021,464,0,3,,
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2015,6,June,June-2015,4972,0,141,,
B01236,BLS LIMO SVC OF NY INC,,2019,7,July,July-2019,2383,0,77,,
B01492,MOBILE #1 CAR SERVICE INC.,,2018,8,August,August-2018,49,0,6,,
B02508,"DISPATCH CENTRAL, INC.",,2015,11,November,November-2015,42,0,10,,
B03085,W DIAMOND LIMO INC,,2019,12,December,December-2019,177,0,24,,
B02898,SANO CAR LLC,,2021,5,May,May-2021,1559,0,14,,
B01236,BLS LIMO SVC OF NY INC,,2016,3,March,March-2016,3249,0,61,,
B01651,U.P.S. RADIO DISPATCH CORP.,WIRELESS CAR SERVICE,2017,10,October,October-2017,1426,0,46,,
B02243,BARONAS LUXURY II INC,,2021,6,June,June-2021,3326,0,49,,
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2016,6,June,June-2016,4162,0,23,,
B01215,ECUADOOR CORP,,2021,5,May,May-2021,1737,0,13,,
B01445,J T TRANS CO INC,,2018,5,May,May-2018,5967,0,78,,
B02594,FENIX MOBILE DISPATCHERS LTD,,2021,11,November,November-2021,387,0,3,,
B02688,KJ TRANSPORTATION,,2015,11,November,November-2015,3269,0,42,,
B02924,CELEBRITY LUXURY INC.,,2021,10,October,October-2021,30,0,12,,
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2016,12,December,December-2016,29966,0,115,,
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2017,7,July,July-2017,386,0,22,,
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2018,9,September,September-2018,10459,0,50,,
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2017,11,November,November-2017,422,0,20,,
b02841,"SKYWAY EXECUTIVE SERVICE, INC",,2016,8,August,August-2016,958,0,16,,
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2019,8,August,August-2019,1787,0,7,,
B00789,VITAL TRANSPORTATION INC.,,2017,5,May,May-2017,12139,0,225,,
B01606,LA MEXICANA EXPRESS INC.,,2021,9,September,September-2021,698,0,7,,
B02285,"VALERA GLOBAL, INC.",,2018,12,December,December-2018,3344,0,73,,
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2019,1,January,January-2019,194,0,6,,
B01339,R C AUDUBON SVC INC,,2019,2,February,February-2019,6324,0,56,,
B02903,JFK LUXURY LIMOUSINE INC,,2019,5,May,May-2019,482,0,13,,
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2021,6,June,June-2021,18573,0,251,,
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2017,12,December,December-2017,7074,0,45,,
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2015,11,November,November-2015,486,0,63,,
B02664,CORPORATE CAR LTD.,,2019,8,August,August-2019,122,0,31,,
B01466,FIVE STAR,,2021,3,March,March-2021,906,0,6,,
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2020,1,January,January-2020,18731,0,461,,
B01875,ON LINE LIMOUSINE LLC,,2018,12,December,December-2018,906,0,26,,
B02182,"FINEST CAR SERVICE, LLC",,2017,10,October,October-2017,11784,0,94,,
B02852,OP CAR SERVICE INC.,,2020,5,May,May-2020,194,0,4,,
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2021,1,January,January-2021,286,0,5,,
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2017,9,September,September-2017,90,0,6,,
B00827,"CASTLE CAR SERVICE, INC",,2020,11,November,November-2020,461,0,2,,
B01424,EAGLE CAR & LIMO LTD.,,2016,4,April,April-2016,450,0,3,,
B01339,R C AUDUBON SVC INC,,2015,4,April,April-2015,16225,0,147,,
B00221,PROFESSIONAL CAR SERVICE INC,,2017,1,January,January-2017,8496,0,89,,
B01928,DISCOVER LIMO INC,INFINITY LIMO,2018,9,September,September-2018,35,0,7,,
B01913,MIRAGE LIMOUSINE SERVICE INC,,2020,5,May,May-2020,176,0,6,,
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2017,10,October,October-2017,5131,0,50,,
B01318,LOWER EAST SIDE C/S CORP,,2020,8,August,August-2020,852,0,13,,
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2018,12,December,December-2018,543,0,25,,
B00054,128 BLUE BIRD TRANSPORT INC.,LATCH CAR SERVICE,2022,2,February,February-2022,115,0,1,,
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2020,11,November,November-2020,1410,0,35,,
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2018,1,January,January-2018,879,0,26,,
B02834,811 TRANSIT CORP,,2022,3,March,March-2022,1354,0,5,,
B02825,GUADALUPANA II CAR & LIMO INC,,2021,10,October,October-2021,2927,0,17,,
B01699,DT BROOKLYN CAR AND LIMO SVC. INC.,FIVE BOROUGHS CAR SERVICE,2016,7,July,July-2016,148,0,2,,
B01389,METRO LUXURY INC,,2015,12,December,December-2015,2402,0,45,,
B00647,KISS CAR SERVICE INC,,2017,3,March,March-2017,74939,0,324,,
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2017,3,March,March-2017,25941,0,91,,
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,10,October,October-2018,2821,0,13,,
B00827,"CASTLE CAR SERVICE, INC",,2020,8,August,August-2020,542,0,2,,
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2019,2,February,February-2019,464,0,12,,
B02902,NY CAR & LIMO SERVICES INC.,,2021,3,March,March-2021,4965,0,41,,
B01318,LOWER EAST SIDE C/S CORP,,2016,3,March,March-2016,15330,0,67,,
B03200,L & J LOGISTICS CORP.,,2021,9,September,September-2021,641,0,23,,
B02551,CHIEF LIMO INC.,,2017,11,November,November-2017,18,0,3,,
B00889,MEXICANA CAR SERVICE INC.,,2019,3,March,March-2019,7714,0,27,,
B01614,R TRANSPORT INC,,2017,1,January,January-2017,903,0,10,,
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2021,1,January,January-2021,1726,0,14,,
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2021,9,September,September-2021,388,0,2,,
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2015,2,February,February-2015,12530,0,212,,
B03113,MIKE'S VIP TRANSPORTATION INC.,,2020,6,June,June-2020,296,0,13,,
B02037,KINGSDALE DISPATCH INC,,2017,2,February,February-2017,1629,0,10,,
B02184,"DMCLS, INC.",,2017,6,June,June-2017,227,0,7,,
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2018,5,May,May-2018,1552,0,13,,
B02346,PIA CAR LIMO. INC.,,2017,3,March,March-2017,114,0,5,,
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2019,11,November,November-2019,37,0,4,,
B01389,METRO LUXURY INC,,2016,3,March,March-2016,2748,0,56,,
B03106,LA NORTENA CAR & LIMO INC,,2019,4,April,April-2019,860,0,5,,
B03007,THE NEW SPANISH CAR & LIMO INC,,2018,2,February,February-2018,465,0,7,,
B00030,TREMONT DISPATCHING CORP,,2017,4,April,April-2017,338,0,2,,
B02913,DAT TRANSPORTATION INC.,,2019,11,November,November-2019,80,0,7,,
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,NYMEX CAR SERVICE,2021,8,August,August-2021,3611,0,27,,
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2018,9,September,September-2018,2858,0,66,,
B01629,BBA MANAGEMENT INC.,UNITED CAR & LIMO SERVICE,2019,10,October,October-2019,748,0,4,,
B00449,A KINGS HWY C/S INC.,,2017,8,August,August-2017,2868,0,12,,
B03094,"JBE LIMO, INC",,2018,11,November,November-2018,40,0,4,,
B02160,"12TH STREET LUXURY CARS, INC.",,2016,1,January,January-2016,152,0,26,,
B02406,MY SEDAN LLC,,2022,3,March,March-2022,195,0,3,,
B00387,FORTUNE LIMOUSINES INC,,2019,11,November,November-2019,302,0,9,,
B00254,XYZ TWO WAY RADIO,,2019,3,March,March-2019,13948,0,213,,
B01436,NEW PRONTO TRANSP INC,,2018,6,June,June-2018,811,0,15,,
B00131,NEW MEXICANA CAR SERVICE II INC.,AZTECA EXPRESS,2018,9,September,September-2018,1365,0,9,,
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2018,4,April,April-2018,1165,0,9,,
B01710,"79 MASADA III, INC.",MASADA III,2018,7,July,July-2018,4067,0,25,,
B00210,"HOWARD CAR SERVICE,INC.",,2019,12,December,December-2019,175,0,13,,
UBER,UBER,UBER,2018,3,March,March-2018,13462091,3523078,66567,,
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2018,2,February,February-2018,1259,0,6,,
B02594,FENIX MOBILE DISPATCHERS LTD,,2019,3,March,March-2019,60,0,3,,
B01625,GLOBE CAR SERVICE INC,,2020,7,July,July-2020,231,0,1,,
B02144,"SILVER STAR LIMOUSINES, INC.",,2018,11,November,November-2018,319,0,10,,
B01300,KENNEDY RAD DISP INC,,2020,10,October,October-2020,4974,0,40,,
B02707,CORONA PLAZA CAR & LIMO SERVICES INC.,,2016,5,May,May-2016,1374,0,19,,
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2017,8,August,August-2017,248,0,15,,
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2017,12,December,December-2017,8129,0,120,,
B00821,ATLANTIC CAR SVCE,,2021,10,October,October-2021,10955,0,61,,
B00225,DELANCEY TRANSPORTATION INC.,,2018,2,February,February-2018,9010,0,53,,
B01726,SUPER CLASS RADIO DISP INC,,2019,1,January,January-2019,7578,0,58,,
B00151,KINGSBAY CAR SERVICE INC,,2017,12,December,December-2017,392,0,33,,
B03076,CHARRITOS BLACK CAR INC,,2018,4,April,April-2018,428,0,5,,
B01362,AMERICAN BASE NO.1 INC.,,2020,5,May,May-2020,2368,0,16,,
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2017,5,May,May-2017,3002,0,17,,
B02901,GALLANT LUXURY SERVICE CORP.,,2018,12,December,December-2018,4390,0,76,,
B02355,BWJ GROUP INC,,2018,2,February,February-2018,1088,0,5,,
B02811,M.L TRIPS CORP.,,2016,3,March,March-2016,508,0,24,,
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2020,5,May,May-2020,18720,0,100,,
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2018,6,June,June-2018,11515,0,44,,
B00225,DELANCEY TRANSPORTATION INC.,,2022,2,February,February-2022,6861,0,68,,
B02440,MLL LIMOUSINE SERVICES INC.,,2018,10,October,October-2018,1129,0,30,,
B02249,"LA RAZA CAR SERVICE, INC.",,2019,1,January,January-2019,4364,0,26,,
B02183,BANGLA CAR & LIMO. SERVICE INC.,,2015,5,May,May-2015,311,0,109,,
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2016,1,January,January-2016,733,0,22,,
B02909,PUERTO RICO EXPRESS BLACK LUXURY INC,,2017,12,December,December-2017,1366,0,5,,
B02956,W.K.EXPRESS LIMO SERVICE INC,,2021,11,November,November-2021,12,0,2,,
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2021,6,June,June-2021,4822,0,15,,
B00151,KINGSBAY CAR SERVICE INC,,2019,6,June,June-2019,22,0,11,,
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2018,7,July,July-2018,270,0,23,,
B02917,C & A BLACK CAR CORP.,,2022,2,February,February-2022,1070,0,37,,
B03157,CAPRICE CAR SERVICE CORP.,,2021,3,March,March-2021,4093,0,31,,
B02410,"POLO LIMOUSINE, CORP.",,2018,8,August,August-2018,884,0,43,,
B01536,FIRST CLASS C/L SVC CORP,,2020,2,February,February-2020,14025,0,93,,
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,2020,2,February,February-2020,939,0,38,,
B03105,MAZNA TRANSPORTATION CORPORATION,,2018,12,December,December-2018,126,0,9,,
B02848,V R WORLDWIDE INC,,2016,7,July,July-2016,80,0,4,,
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,2020,12,December,December-2020,36,0,6,,
B02852,OP CAR SERVICE INC.,,2018,12,December,December-2018,740,0,8,,
B03173,ABIAN TRANSPORTATION INC.,,2021,1,January,January-2021,12,0,2,,
B01537,S.I. SPEED INC.,,2020,9,September,September-2020,1004,0,3,,
B01606,LA MEXICANA EXPRESS INC.,,2021,7,July,July-2021,1210,0,7,,
B02898,SANO CAR LLC,,2022,3,March,March-2022,1544,0,13,,
B02641,AVENUE X CAR SERVICE INC.,PRESTIGE CAR SERVICE,2020,11,November,November-2020,2398,0,13,,
B03355,MANA TRANSPORTATION INC.,,2021,7,July,July-2021,377,0,9,,
B01190,NEW BELL CAR SERVICE CORP,,2017,11,November,November-2017,5191,0,29,,
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2018,1,January,January-2018,380,0,29,,
B00975,"T.J.Q. CAR SERVICE, INC.",QUALITY CAR SVCE,2017,4,April,April-2017,2859,0,14,,
B02845,MIRAE CALLS INC,,2016,2,February,February-2016,24,0,10,,
B00802,BELL CAR SVC INC,,2022,3,March,March-2022,3079,0,13,,
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2020,4,April,April-2020,19,0,2,,
B01051,B Q N C/S CORP,,2016,1,January,January-2016,40992,0,206,,
B00459,910 CAR SERVICE INC,,2019,11,November,November-2019,512,0,19,,
B01800,EMPIRE INTERNATIONAL LTD.,,2017,8,August,August-2017,7058,0,253,,
B02346,PIA CAR LIMO. INC.,,2018,2,February,February-2018,86,0,1,,
